id,akteursbezeichnung
MN,Manuel Neuer
MP,Marvin Plattenhardt
JH,Jonas Hector
MG,Matthias Ginter
MH,Mats Hummels
SK,Sami Khedira
JD,Julian Draxler
TK,Toni Kroos
TW,Timo Werner
MO,Mesut Oezil
MR,Marco Reus
KT,Kevin Trapp
TM,Thomas Mueller
LG,Leon Goretzka
NS,Niklas Suele
AR,Antonio Ruediger
JB,Jerome Boateng
JK,Joshua Kimmich
SR,Sebastian Rudy
JBR,Julian Brandt
IG,Ilkay Guendogan
MS,Marc-Andre ter Stegen
MGO,Mario Gomez
11_Teamsports,11 Teamsports
Adidas,Adidas
Aktion_Ehrenamt_Des_Dfb,Aktion Ehrenamt des Dfb
Allianz,Allianz
Apple_Music,Apple Music
Barilla,Barilla
Beko,Beko
BigShoe,BigShoe
Braun,Braun
Caseable,Caseable
City_in_the_Community_Foundation,City in the Community Foundation
Coca_Cola,Coca Cola
Common_Goal,Common Goal
Daimler,Daimler
Die_Wiege,Die Wiege
Disneys_Die_Monster_Uni,Disney die Monster Uni
DKMS,DKMS
Doppelherz,Doppelherz
EA_Sports_Fifa,EA Sports Fifa
Edel_Optics,Edel Optics
EHFK,EHFK
Elterninitiative_Saarland,Elterninitiative Saarland
Elterntreff_Dortmund,Elterntreff Dortmund
FC_Schalke_04,FC Schalke 04
Ferrero,Ferrero
Fight_for_Finn,Fight for Finn
FOX,Fox
Gazi,Gazi
Gemeinde_Dietingen,Gemeinde Dietingen
Gillette,Gilette
Head_and_Shoulders,Head and Shoulders
Hugo_Boss,Hugo Boss
Initiative_der_Kinder_und_Jugendklinik_Freiburg_e.V.,Initiative der Kinder- und Jugendklinik Freiburg e.V.
Jamie_Jacobs,Jamie Jacobs
JBL,JBL
Jd_Marketing_GmbH,Jd Marketing GmbH
Jugendhilfe_Jona,Jugendhilfe Jona
Kaliber5_SPORTS,Kaliber5 Sports
KiO_Kinderhilfe_Organtransplantation,KiO
KT01_Collection,KT01 Collection
Kumpelkiste,Kumpelkiste
Laureus_Sport_for_Good,Laureus Sport for Good
Lavia_Trauergruppe,Lavia Trauergruppe
Lays,Lays
Living_a_Dream,Living a Dream
Manuel_Neuer_Kids_Foundation,Manuel Neuer Kids Foundation
Matthias_Ginter_Stiftung,Matthias Ginter Stiftung
McDavid_Football,McDavid Football
McDonalds,McDonalds
Mein_Klub_Meine_Hilfe,Mein Klub Meine Hilfe
Mercedes_AMG,Mercedes AMG
MobileWorld24,MobileWorld24
My_Topps,My Topps
Nike,Nike
Nujeens_Dream,Nujeen's Dream
Opel,Opel
Pepsi,Pepsi
PlayStation,PlayStation
Porsche_Jugendfoerderung,Porsche Jugendförderung
Puma,Puma
Rewe,Rewe
Rtl_Wir_Helfen_Kindern,RTL Wir Helfen Kindern
Sami_Khedira_Stiftung,Sami Khedira Stiftung
Show_Racism_the_Red_Card,Show Racism the Red Card
Sky_Charity,Sky Charity
Sony_Alpha,Sony Alpha
SportsTotal,SportsTotal
Tag_Heuer,Tag Heuer
Telekom,Telekom
The_Oezil_Charitable_Foundation,The Oezil Charitable Foundation
Tiwi_Ndogo_e.V.,Tiwi Ndogo e.V.
Toni_Kroos_Stiftung,Toni Kroos Stiftung
Trostpflaster_Aktion,Trostpflaster Aktion
Unicef,Unicef
United_Charity,United Charity
Verlagsgruppe_Oetinger,Verlagsgruppe Oetinger
Vodafone,Vodafone
Weber,Weber
Young_Wings,Young Wings